iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.383714	0.005488			0.002753	0.818182		
2	0.721708	0.012072	0.002584	0.003985	0.006081	0.818182	0.001080	0.000186
3	0.753448	0.013605	0.002772	0.004062	0.006860	0.818182	0.000979	0.000181
4	0.771585	0.014670	0.002802	0.004139	0.007401	0.818182	0.000961	0.000185
5	0.773097	0.014766	0.003016	0.004531	0.007450	0.818182	0.001198	0.000181
6	0.870962	0.025678	0.002780	0.004023	0.013043	0.818182	0.000935	0.000180
7	0.855658	0.023018	0.002990	0.004268	0.011673	0.818182	0.000957	0.000186
8	0.886454	0.029079	0.004028	0.005323	0.014803	0.818182	0.000971	0.000187
9	0.941054	0.054545	0.002793	0.004070	0.028213	0.818182	0.000959	0.000184
10	0.925562	0.043689	0.002940	0.004391	0.022444	0.818182	0.001111	0.000182
11	0.931986	0.047619	0.002991	0.004290	0.024523	0.818182	0.000974	0.000187
12	0.941243	0.054711	0.003045	0.004341	0.028302	0.818182	0.000975	0.000185
13	0.954279	0.069231	0.003169	0.004610	0.036145	0.818182	0.001097	0.000197
14	0.957113	0.073469	0.003134	0.004485	0.038462	0.818182	0.001026	0.000188
15	0.965993	0.090909	0.003739	0.005271	0.048128	0.818182	0.001128	0.000259
16	0.964104	0.040404	0.003269	0.004787	0.021390	0.363636	0.001175	0.000199
17	0.970149	0.048193	0.003327	0.004655	0.025806	0.363636	0.000997	0.000189
18	0.973172	0.013889	0.004241	0.005922	0.007519	0.090909	0.001311	0.000216
19	0.974306	0.014493	0.003110	0.004539	0.007874	0.090909	0.001090	0.000193
20	0.972983	0.013793	0.002810	0.004639	0.007463	0.090909	0.001505	0.000185
21	0.979029	0.017699	0.003101	0.004523	0.009804	0.090909	0.001070	0.000203
22	0.980729	0.019231	0.002778	0.004088	0.010753	0.090909	0.000990	0.000187
23	0.980162	0.018692	0.002712	0.004035	0.010417	0.090909	0.000983	0.000214
24	0.981107	0.019608	0.002745	0.004037	0.010989	0.090909	0.000977	0.000184
25	0.981674	0.020202	0.002992	0.004347	0.011364	0.090909	0.001025	0.000191
26	0.981674	0.020202	0.002916	0.004360	0.011364	0.090909	0.001104	0.000217
27	0.982430	0.021053	0.003125	0.004449	0.011905	0.090909	0.001003	0.000188
28	0.982430	0.021053	0.004954	0.006845	0.011905	0.090909	0.001345	0.000264
29	0.982807	0.021505	0.003199	0.004871	0.012195	0.090909	0.001338	0.000192
30	0.982619	0.021277	0.003221	0.004627	0.012048	0.090909	0.001068	0.000193
31	0.982241	0.020833	0.003231	0.004603	0.011765	0.090909	0.001042	0.000191
32	0.982430	0.021053	0.003121	0.004686	0.011905	0.090909	0.001242	0.000190
33	0.982430	0.021053	0.003372	0.004793	0.011905	0.090909	0.001072	0.000198
34	0.982807	0.021505	0.002890	0.004554	0.012195	0.090909	0.001350	0.000184
35	0.982807	0.021505	0.002990	0.004459	0.012195	0.090909	0.001147	0.000187
36	0.982996	0.021739	0.003255	0.004607	0.012346	0.090909	0.001027	0.000187
37	0.983374	0.022222	0.003098	0.004467	0.012658	0.090909	0.001037	0.000192
38	0.983563	0.022472	0.003004	0.004357	0.012821	0.090909	0.001011	0.000183
39	0.983563	0.022472	0.003030	0.004407	0.012821	0.090909	0.001057	0.000186
40	0.983941	0.022989	0.003415	0.004808	0.013158	0.090909	0.001058	0.000191
41	0.983941	0.022989	0.003150	0.004707	0.013158	0.090909	0.001224	0.000192
42	0.984130	0.023256	0.003506	0.005052	0.013333	0.090909	0.001199	0.000202
43	0.984508	0.023810	0.003050	0.004420	0.013699	0.090909	0.001042	0.000189
44	0.984697	0.024096	0.002998	0.004340	0.013889	0.090909	0.001021	0.000190
45	0.985075	0.024691	0.003509	0.005344	0.014286	0.090909	0.001344	0.000227
46	0.985075	0.024691	0.002862	0.004228	0.014286	0.090909	0.001057	0.000182
47	0.985452	0.025316	0.002999	0.004357	0.014706	0.090909	0.001032	0.000187
48	0.985452	0.025316	0.003479	0.005148	0.014706	0.090909	0.001223	0.000234
49	0.985830	0.025974	0.003814	0.005361	0.015152	0.090909	0.001179	0.000210
50	0.985830	0.025974	0.002913	0.004290	0.015152	0.090909	0.001065	0.000186
51	0.986019	0.026316	0.002979	0.004360	0.015385	0.090909	0.001051	0.000193
52	0.986019	0.026316	0.003502	0.004977	0.015385	0.090909	0.001124	0.000206
53	0.986019	0.026316	0.003486	0.004899	0.015385	0.090909	0.001074	0.000196
54	0.986019	0.026316	0.003463	0.005521	0.015385	0.090909	0.001680	0.000225
55	0.986208	0.026667	0.003509	0.004907	0.015625	0.090909	0.001063	0.000194
56	0.986397	0.027027	0.003717	0.005394	0.015873	0.090909	0.001223	0.000287
57	0.986586	0.027397	0.003086	0.004460	0.016129	0.090909	0.001047	0.000193
58	0.986775	0.027778	0.003141	0.004828	0.016393	0.090909	0.001177	0.000334
59	0.986775	0.027778	0.003025	0.005180	0.016393	0.090909	0.001774	0.000252
60	0.986775	0.027778	0.003737	0.005301	0.016393	0.090909	0.001188	0.000221
61	0.986964	0.028169	0.003352	0.004884	0.016667	0.090909	0.001179	0.000206
62	0.987342	0.028986	0.003183	0.004633	0.017241	0.090909	0.001088	0.000192
63	0.987342	0.028986	0.003037	0.004437	0.017241	0.090909	0.001072	0.000193
64	0.987531	0.029412	0.003157	0.004566	0.017544	0.090909	0.001076	0.000194
65	0.987531	0.029412	0.003067	0.004450	0.017544	0.090909	0.001057	0.000190
66	0.987531	0.029412	0.003853	0.005697	0.017544	0.090909	0.001413	0.000253
67	0.987531	0.029412	0.003228	0.004767	0.017544	0.090909	0.001210	0.000191
68	0.987531	0.029412	0.003332	0.004906	0.017544	0.090909	0.001224	0.000205
69	0.987720	0.029851	0.003115	0.004501	0.017857	0.090909	0.001056	0.000192
70	0.987909	0.030303	0.002876	0.004234	0.018182	0.090909	0.001038	0.000187
71	0.988097	0.030769	0.003123	0.004522	0.018519	0.090909	0.001069	0.000191
72	0.988097	0.030769	0.003208	0.004785	0.018519	0.090909	0.001254	0.000189
73	0.988097	0.030769	0.003060	0.004454	0.018519	0.090909	0.001064	0.000190
74	0.988097	0.030769	0.003356	0.006160	0.018519	0.090909	0.001782	0.000551
75	0.988097	0.030769	0.003412	0.004908	0.018519	0.090909	0.001144	0.000206
76	0.988097	0.030769	0.004651	0.006545	0.018519	0.090909	0.001477	0.000246
77	0.988097	0.030769	0.003340	0.004921	0.018519	0.090909	0.001231	0.000210
78	0.988097	0.030769	0.003475	0.004916	0.018519	0.090909	0.001101	0.000195
79	0.988475	0.031746	0.004059	0.005744	0.019231	0.090909	0.001310	0.000210
80	0.988475	0.031746	0.003266	0.004952	0.019231	0.090909	0.001320	0.000210
81	0.988664	0.032258	0.003341	0.004855	0.019608	0.090909	0.001152	0.000208
82	0.988664	0.032258	0.003159	0.004586	0.019608	0.090909	0.001075	0.000222
83	0.988664	0.032258	0.003383	0.004780	0.019608	0.090909	0.001074	0.000191
84	0.988664	0.032258	0.003243	0.004703	0.019608	0.090909	0.001094	0.000221
85	0.989420	0.034483	0.003216	0.004626	0.021277	0.090909	0.001088	0.000190
86	0.989420	0.034483	0.003103	0.004766	0.021277	0.090909	0.001335	0.000191
87	0.989798	0.035714	0.003569	0.005772	0.022222	0.090909	0.001782	0.000246
88	0.990365	0.037736	0.002985	0.004409	0.023810	0.090909	0.001097	0.000191
89	0.990365	0.037736	0.002783	0.004205	0.023810	0.090909	0.001095	0.000190
90	0.990554	0.038462	0.003051	0.004578	0.024390	0.090909	0.001179	0.000204
91	0.990742	0.039216	0.002855	0.004293	0.025000	0.090909	0.001111	0.000193
92	0.990931	0.040000	0.002811	0.004245	0.025641	0.090909	0.001104	0.000193
93	0.991120	0.040816	0.003160	0.004637	0.026316	0.090909	0.001125	0.000213
94	0.991309	0.041667	0.003168	0.005466	0.027027	0.090909	0.001424	0.000610
95	0.991687	0.043478	0.002886	0.004344	0.028571	0.090909	0.001122	0.000195
96	0.991687	0.043478	0.002722	0.004202	0.028571	0.090909	0.001158	0.000190
97	0.991876	0.044444	0.002856	0.004283	0.029412	0.090909	0.001103	0.000191
98	0.992065	0.045455	0.004439	0.006345	0.030303	0.090909	0.001486	0.000252
99	0.992254	0.046512	0.002987	0.004965	0.031250	0.090909	0.001572	0.000257
100	0.992443	0.047619	0.002877	0.004345	0.032258	0.090909	0.001132	0.000198
101	0.992632	0.048780	0.003688	0.005291	0.033333	0.090909	0.001189	0.000217
