iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.851085	0.103934			0.057679	0.933334		
2	0.989545	0.194040	0.002374	0.003760	0.158618	0.500000	0.001112	0.000150
3	0.994039	0.293323	0.002706	0.004123	0.610170	0.500000	0.001046	0.000196
4	0.997166	0.417647	0.003178	0.005171	0.740000	0.466666	0.001502	0.000290
5	0.994723	0.311677	0.002614	0.003886	0.625000	0.500000	0.000955	0.000186
6	0.998241	0.537002	0.002862	0.004137	0.906250	0.500000	0.000956	0.000185
7	0.998241	0.537002	0.002469	0.004065	0.906250	0.500000	0.001300	0.000177
8	0.998241	0.525054	0.002625	0.003845	0.958333	0.433333	0.000919	0.000177
9	0.997850	0.403361	0.002733	0.003965	1.000000	0.266667	0.000926	0.000180
10	0.997850	0.462475	0.002848	0.004215	0.857143	0.400000	0.001029	0.000193
11	0.998339	0.540724	0.002652	0.004015	1.000000	0.433333	0.001065	0.000175
12	0.998436	0.625000	0.002797	0.004087	1.000000	0.466666	0.000973	0.000187
13	0.998436	0.756411	0.002959	0.004504	0.785714	0.766667	0.001221	0.000189
14	0.994919	0.573412	0.004369	0.005857	0.537112	0.800000	0.001096	0.000212
15	0.996385	0.643416	0.002770	0.004125	0.647728	0.800000	0.001049	0.000179
16	0.998632	0.784188	0.002937	0.004542	0.809524	0.800000	0.001296	0.000180
17	0.999316	0.874690	0.002743	0.003969	0.937500	0.833333	0.000925	0.000179
18	0.998925	0.828483	0.002692	0.003949	0.840909	0.866667	0.000951	0.000180
19	0.996873	0.681698	0.002979	0.004445	0.674419	0.866667	0.001035	0.000251
20	0.998339	0.771914	0.002553	0.004008	0.767857	0.866667	0.001159	0.000177
21	0.998730	0.807693	0.002732	0.004031	0.812500	0.866667	0.000981	0.000188
22	0.999121	0.851649	0.002869	0.004170	0.875000	0.866667	0.000981	0.000188
23	0.999316	0.877622	0.003003	0.004455	0.916667	0.866667	0.001076	0.000239
24	0.999316	0.877622	0.004196	0.006482	0.916667	0.866667	0.001796	0.000271
25	0.999316	0.877622	0.002914	0.004959	0.916667	0.866667	0.001137	0.000753
26	0.999316	0.877622	0.002835	0.004129	0.916667	0.866667	0.000970	0.000192
27	0.999023	0.839743	0.002583	0.004128	0.857143	0.866667	0.001246	0.000179
28	0.999609	0.923077	0.002697	0.003945	1.000000	0.866667	0.000947	0.000180
29	0.999609	0.923077	0.002921	0.004369	1.000000	0.866667	0.001123	0.000192
30	0.999804	0.964285	0.002900	0.004296	1.000000	0.933334	0.001062	0.000197
31	0.999804	0.964285	0.002644	0.003928	1.000000	0.933334	0.000981	0.000180
32	0.999804	0.964285	0.002758	0.004065	1.000000	0.933334	0.000991	0.000182
33	0.999804	0.964285	0.003017	0.004377	1.000000	0.933334	0.001040	0.000190
34	0.999804	0.964285	0.002825	0.004118	1.000000	0.933334	0.000990	0.000180
35	0.999804	0.964285	0.003238	0.004703	1.000000	0.933334	0.001105	0.000218
36	0.999804	0.964285	0.002865	0.004202	1.000000	0.933334	0.001025	0.000186
37	0.999804	0.964285	0.002692	0.003972	1.000000	0.933334	0.000988	0.000174
38	0.999804	0.964285	0.002705	0.004065	1.000000	0.933334	0.001067	0.000177
39	0.999804	0.964285	0.003049	0.004430	1.000000	0.933334	0.001059	0.000189
40	0.999804	0.964285	0.002972	0.004378	1.000000	0.933334	0.001074	0.000195
41	0.999804	0.964285	0.002942	0.004307	1.000000	0.933334	0.001045	0.000188
42	0.999804	0.964285	0.002850	0.004285	1.000000	0.933334	0.001126	0.000182
43	0.999804	0.964285	0.002827	0.004298	1.000000	0.933334	0.001161	0.000182
44	0.999804	0.964285	0.002847	0.004196	1.000000	0.933334	0.001032	0.000186
45	0.999804	0.964285	0.002783	0.004098	1.000000	0.933334	0.001009	0.000180
46	0.999804	0.964285	0.002740	0.004025	1.000000	0.933334	0.000990	0.000177
47	0.999804	0.964285	0.002912	0.004269	1.000000	0.933334	0.001044	0.000186
48	0.999804	0.964285	0.002799	0.004126	1.000000	0.933334	0.001020	0.000180
49	0.999804	0.964285	0.002897	0.004249	1.000000	0.933334	0.001043	0.000184
50	0.999804	0.964285	0.002874	0.004194	1.000000	0.933334	0.001017	0.000183
51	0.999804	0.964285	0.002828	0.004166	1.000000	0.933334	0.001031	0.000183
52	0.999804	0.964285	0.003586	0.005123	1.000000	0.933334	0.001192	0.000196
53	0.999804	0.964285	0.002857	0.004167	1.000000	0.933334	0.001008	0.000181
54	0.999804	0.964285	0.002900	0.004219	1.000000	0.933334	0.001017	0.000182
55	0.999804	0.964285	0.002894	0.004200	1.000000	0.933334	0.001007	0.000181
56	0.999804	0.964285	0.002811	0.004226	1.000000	0.933334	0.001115	0.000180
57	0.999804	0.964285	0.002828	0.004223	1.000000	0.933334	0.001058	0.000217
58	0.999804	0.964285	0.002882	0.004228	1.000000	0.933334	0.001035	0.000184
59	0.999804	0.964285	0.003028	0.004404	1.000000	0.933334	0.001061	0.000186
60	0.999804	0.964285	0.002891	0.004235	1.000000	0.933334	0.001038	0.000182
61	0.999804	0.964285	0.002943	0.004276	1.000000	0.933334	0.001027	0.000183
62	0.999804	0.964285	0.002928	0.004262	1.000000	0.933334	0.001034	0.000182
63	0.999804	0.964285	0.002942	0.004358	1.000000	0.933334	0.001084	0.000214
64	0.999804	0.964285	0.002962	0.004286	1.000000	0.933334	0.001019	0.000183
65	0.999804	0.964285	0.002919	0.004329	1.000000	0.933334	0.001113	0.000179
66	0.999804	0.964285	0.002969	0.004339	1.000000	0.933334	0.001061	0.000183
67	0.999804	0.964285	0.003070	0.004453	1.000000	0.933334	0.001067	0.000187
68	0.999804	0.964285	0.003130	0.004533	1.000000	0.933334	0.001079	0.000190
69	0.999804	0.964285	0.002992	0.004495	1.000000	0.933334	0.001199	0.000181
70	0.999804	0.964285	0.003054	0.004400	1.000000	0.933334	0.001035	0.000184
71	0.999804	0.964285	0.003043	0.004452	1.000000	0.933334	0.001079	0.000199
72	0.999804	0.964285	0.003214	0.004611	1.000000	0.933334	0.001077	0.000189
73	0.999804	0.964285	0.003104	0.004479	1.000000	0.933334	0.001060	0.000184
74	0.999804	0.964285	0.003163	0.004561	1.000000	0.933334	0.001075	0.000192
