iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.965996	0.147059			0.079365	1.000000		
2	0.992769	0.393443	0.002718	0.004101	0.260870	0.800000	0.001036	0.000201
3	0.995701	0.266667	0.002425	0.003627	0.266667	0.266667	0.000908	0.000176
4	0.997069	0.347826	0.002376	0.003804	0.500000	0.266667	0.001139	0.000175
5	0.998827	0.812500	0.005681	0.007739	0.764706	0.866667	0.001481	0.000297
6	0.997069	0.634146	0.002728	0.004018	0.500000	0.866667	0.000969	0.000184
7	0.997264	0.650000	0.002578	0.003821	0.520000	0.866667	0.000936	0.000179
8	0.998241	0.742857	0.002540	0.003732	0.650000	0.866667	0.000904	0.000173
9	0.998632	0.787879	0.002393	0.003581	0.722222	0.866667	0.000905	0.000171
10	0.998632	0.787879	0.002414	0.003604	0.722222	0.866667	0.000905	0.000171
11	0.998827	0.812500	0.002470	0.003657	0.764706	0.866667	0.000904	0.000171
12	0.998827	0.812500	0.002462	0.003668	0.764706	0.866667	0.000908	0.000184
13	0.998827	0.812500	0.002581	0.003787	0.764706	0.866667	0.000918	0.000174
14	0.999023	0.838710	0.002556	0.003788	0.812500	0.866667	0.000935	0.000177
15	0.999023	0.838710	0.002530	0.003782	0.812500	0.866667	0.000948	0.000180
16	0.999023	0.838710	0.002669	0.003880	0.812500	0.866667	0.000920	0.000175
17	0.999609	0.928571	0.002485	0.003896	1.000000	0.866667	0.001121	0.000175
18	0.999609	0.928571	0.002605	0.003806	1.000000	0.866667	0.000914	0.000173
19	0.999609	0.928571	0.002580	0.003781	1.000000	0.866667	0.000917	0.000172
20	0.999609	0.928571	0.002479	0.003694	1.000000	0.866667	0.000929	0.000172
21	0.999609	0.928571	0.002461	0.003695	1.000000	0.866667	0.000947	0.000174
22	0.999609	0.928571	0.002600	0.003848	1.000000	0.866667	0.000957	0.000174
23	0.999609	0.928571	0.002568	0.003811	1.000000	0.866667	0.000955	0.000174
24	0.999609	0.928571	0.002570	0.003811	1.000000	0.866667	0.000952	0.000173
25	0.999609	0.928571	0.002587	0.003830	1.000000	0.866667	0.000956	0.000174
26	0.999609	0.928571	0.002617	0.003897	1.000000	0.866667	0.000979	0.000180
27	0.999609	0.928571	0.002591	0.003843	1.000000	0.866667	0.000963	0.000175
28	0.999609	0.928571	0.002608	0.003858	1.000000	0.866667	0.000960	0.000175
29	0.999609	0.928571	0.002630	0.003911	1.000000	0.866667	0.000983	0.000178
30	0.999609	0.928571	0.002612	0.003893	1.000000	0.866667	0.000984	0.000180
31	0.999609	0.928571	0.002602	0.004159	1.000000	0.866667	0.001266	0.000176
32	0.999609	0.928571	0.002680	0.003953	1.000000	0.866667	0.000977	0.000178
33	0.999609	0.928571	0.002669	0.003938	1.000000	0.866667	0.000976	0.000178
34	0.999609	0.928571	0.002650	0.003894	1.000000	0.866667	0.000955	0.000174
35	0.999609	0.928571	0.002619	0.003860	1.000000	0.866667	0.000954	0.000173
36	0.999609	0.928571	0.002635	0.003913	1.000000	0.866667	0.000989	0.000175
37	0.999609	0.928571	0.002634	0.003899	1.000000	0.866667	0.000977	0.000174
38	0.999609	0.928571	0.002655	0.003925	1.000000	0.866667	0.000977	0.000177
39	0.999609	0.928571	0.002712	0.003970	1.000000	0.866667	0.000970	0.000174
40	0.999609	0.928571	0.002719	0.003978	1.000000	0.866667	0.000972	0.000174
41	0.999609	0.928571	0.002803	0.004095	1.000000	0.866667	0.000996	0.000178
42	0.999609	0.928571	0.002720	0.004022	1.000000	0.866667	0.001000	0.000181
43	0.999609	0.928571	0.002674	0.003953	1.000000	0.866667	0.000989	0.000175
44	0.999609	0.928571	0.002809	0.004275	1.000000	0.866667	0.001180	0.000173
45	0.999609	0.928571	0.002690	0.003957	1.000000	0.866667	0.000977	0.000175
46	0.999609	0.928571	0.002699	0.003970	1.000000	0.866667	0.000980	0.000177
47	0.999609	0.928571	0.002821	0.004162	1.000000	0.866667	0.001028	0.000184
48	0.999609	0.928571	0.002746	0.004023	1.000000	0.866667	0.000985	0.000177
49	0.999609	0.928571	0.002729	0.004006	1.000000	0.866667	0.000989	0.000175
50	0.999609	0.928571	0.002747	0.004121	1.000000	0.866667	0.001065	0.000187
51	0.999609	0.928571	0.002763	0.004071	1.000000	0.866667	0.001004	0.000183
52	0.999609	0.928571	0.002753	0.004100	1.000000	0.866667	0.001047	0.000184
53	0.999609	0.928571	0.002966	0.004315	1.000000	0.866667	0.001032	0.000188
54	0.999609	0.928571	0.002800	0.004124	1.000000	0.866667	0.001015	0.000184
55	0.999609	0.928571	0.002771	0.004068	1.000000	0.866667	0.000998	0.000181
56	0.999609	0.928571	0.002775	0.004065	1.000000	0.866667	0.000994	0.000180
57	0.999609	0.928571	0.002834	0.004120	1.000000	0.866667	0.000995	0.000177
58	0.999609	0.928571	0.002798	0.004300	1.000000	0.866667	0.001210	0.000178
59	0.999609	0.928571	0.002833	0.004187	1.000000	0.866667	0.001039	0.000188
60	0.999609	0.928571	0.002849	0.004158	1.000000	0.866667	0.001007	0.000183
61	0.999609	0.928571	0.002847	0.004158	1.000000	0.866667	0.001010	0.000184
62	0.999609	0.928571	0.002886	0.004183	1.000000	0.866667	0.001004	0.000178
63	0.999609	0.928571	0.002956	0.004245	1.000000	0.866667	0.000997	0.000179
64	0.999609	0.928571	0.002854	0.004149	1.000000	0.866667	0.001000	0.000179
65	0.999609	0.928571	0.002860	0.004150	1.000000	0.866667	0.000998	0.000178
66	0.999609	0.928571	0.002927	0.004221	1.000000	0.866667	0.001001	0.000179
67	0.999609	0.928571	0.002938	0.004344	1.000000	0.866667	0.001113	0.000177
68	0.999609	0.928571	0.002903	0.004217	1.000000	0.866667	0.001014	0.000181
69	0.999609	0.928571	0.007137	0.009053	1.000000	0.866667	0.001355	0.000344
70	0.999609	0.928571	0.003152	0.004490	1.000000	0.866667	0.001033	0.000186
71	0.999609	0.928571	0.002918	0.004420	1.000000	0.866667	0.001207	0.000176
72	0.999609	0.928571	0.002981	0.004286	1.000000	0.866667	0.001015	0.000177
73	0.999609	0.928571	0.002968	0.004287	1.000000	0.866667	0.001022	0.000180
74	0.999609	0.928571	0.002972	0.004310	1.000000	0.866667	0.001036	0.000182
75	0.999609	0.928571	0.002993	0.004331	1.000000	0.866667	0.001035	0.000182
76	0.999609	0.928571	0.002952	0.004261	1.000000	0.866667	0.001015	0.000177
77	0.999609	0.928571	0.003292	0.004767	1.000000	0.866667	0.001137	0.000200
78	0.999609	0.928571	0.002964	0.004292	1.000000	0.866667	0.001036	0.000178
79	0.999609	0.928571	0.003032	0.004344	1.000000	0.866667	0.001018	0.000179
80	0.999609	0.928571	0.002976	0.004289	1.000000	0.866667	0.001018	0.000180
81	0.999609	0.928571	0.002981	0.004291	1.000000	0.866667	0.001018	0.000178
82	0.999609	0.928571	0.003251	0.004625	1.000000	0.866667	0.001063	0.000186
83	0.999609	0.928571	0.004255	0.006046	1.000000	0.866667	0.001391	0.000240
84	0.999609	0.928571	0.003192	0.004537	1.000000	0.866667	0.001046	0.000182
85	0.999609	0.928571	0.003026	0.004574	1.000000	0.866667	0.001252	0.000180
86	0.999609	0.928571	0.003094	0.004414	1.000000	0.866667	0.001025	0.000180
87	0.999609	0.928571	0.003052	0.004368	1.000000	0.866667	0.001024	0.000179
88	0.999609	0.928571	0.003115	0.004438	1.000000	0.866667	0.001030	0.000178
89	0.999609	0.928571	0.003108	0.004468	1.000000	0.866667	0.001056	0.000182
90	0.999609	0.928571	0.003098	0.004437	1.000000	0.866667	0.001041	0.000181
91	0.999609	0.928571	0.003109	0.004441	1.000000	0.866667	0.001037	0.000180
92	0.999609	0.928571	0.003206	0.004592	1.000000	0.866667	0.001072	0.000187
93	0.999609	0.928571	0.003124	0.004462	1.000000	0.866667	0.001044	0.000180
94	0.999609	0.928571	0.003127	0.004456	1.000000	0.866667	0.001037	0.000178
95	1.000000	1.000000	0.003209	0.004612	1.000000	1.000000	0.001106	0.000182
96	1.000000	1.000000	0.002771	0.004123	1.000000	1.000000	0.001054	0.000182
97	1.000000	1.000000	0.002871	0.004260	1.000000	1.000000	0.001083	0.000185
98	1.000000	1.000000	0.002942	0.004537	1.000000	1.000000	0.001299	0.000180
99	1.000000	1.000000	0.002948	0.004337	1.000000	1.000000	0.001095	0.000179
100	1.000000	1.000000	0.002979	0.004367	1.000000	1.000000	0.001092	0.000184
101	1.000000	1.000000	0.002966	0.004358	1.000000	1.000000	0.001097	0.000181
