iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.485169	0.008009			0.004020	1.000000		
2	0.727187	0.012312	0.003071	0.004480	0.006203	0.818182	0.001055	0.000204
3	0.747969	0.013314	0.002665	0.004418	0.006711	0.818182	0.001452	0.000177
4	0.766484	0.014354	0.003100	0.004549	0.007241	0.818182	0.001117	0.000190
5	0.851691	0.022416	0.002778	0.004116	0.011364	0.818182	0.000979	0.000188
6	0.863593	0.024324	0.002917	0.004208	0.012346	0.818182	0.000969	0.000186
7	0.869450	0.025388	0.002885	0.004240	0.012894	0.818182	0.001000	0.000212
8	0.886832	0.029173	0.002753	0.004048	0.014851	0.818182	0.000969	0.000187
9	0.895711	0.031579	0.003023	0.004354	0.016100	0.818182	0.001000	0.000189
10	0.919894	0.040724	0.002899	0.004174	0.020882	0.818182	0.000949	0.000187
11	0.925184	0.043478	0.003317	0.004746	0.022333	0.818182	0.001070	0.000205
12	0.928774	0.040712	0.003015	0.004340	0.020942	0.727273	0.001000	0.000184
13	0.920650	0.027778	0.003595	0.005244	0.014252	0.545455	0.001137	0.000243
14	0.924995	0.029340	0.004354	0.006418	0.015075	0.545455	0.001447	0.000373
15	0.925562	0.029557	0.004398	0.009327	0.015190	0.545455	0.004306	0.000396
16	0.926507	0.025063	0.004132	0.006844	0.012887	0.454545	0.002235	0.000253
17	0.930285	0.026385	0.004346	0.007110	0.013587	0.454545	0.002249	0.000317
18	0.936142	0.028736	0.004604	0.007623	0.014837	0.454545	0.001958	0.000672
19	0.937087	0.029155	0.003674	0.006373	0.015060	0.454545	0.002101	0.000318
20	0.939165	0.024242	0.004722	0.007015	0.012539	0.363636	0.001717	0.000345
21	0.944266	0.019934	0.003553	0.006212	0.010345	0.272727	0.001911	0.000605
22	0.953712	0.008097	0.004625	0.006951	0.004237	0.090909	0.001912	0.000259
23	0.997922	0.000000	0.003702	0.006313	0.000000	0.000000	0.001590	0.000492
24	0.997922	0.000000	0.004644	0.007130	0.000000	0.000000	0.002067	0.000271
25	0.997922	0.000000	0.005315	0.007814	0.000000	0.000000	0.001902	0.000329
26	0.997922	0.000000	0.004398	0.006701	0.000000	0.000000	0.001558	0.000583
27	0.997922	0.000000	0.004420	0.007334	0.000000	0.000000	0.002242	0.000398
