iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.398262	0.005620			0.002820	0.818182		
2	0.722464	0.012105	0.002728	0.003977	0.006098	0.818182	0.000954	0.000161
3	0.757793	0.013846	0.002680	0.003853	0.006982	0.818182	0.000932	0.000117
4	0.785944	0.015639	0.002759	0.003975	0.007895	0.818182	0.000919	0.000176
5	0.863027	0.024226	0.002751	0.003963	0.012295	0.818182	0.000915	0.000176
6	0.868883	0.025281	0.002745	0.003959	0.012839	0.818182	0.000920	0.000175
7	0.878519	0.027231	0.006160	0.008193	0.013846	0.818182	0.001451	0.000341
8	0.882675	0.028169	0.002884	0.004288	0.014331	0.818182	0.000995	0.000278
9	0.890043	0.030000	0.002934	0.004455	0.015280	0.818182	0.001206	0.000183
10	0.889288	0.029801	0.002805	0.004043	0.015177	0.818182	0.000934	0.000178
11	0.903268	0.033962	0.002774	0.003994	0.017341	0.818182	0.000923	0.000175
12	0.935197	0.049861	0.002835	0.004061	0.025714	0.818182	0.000927	0.000177
13	0.959380	0.077253	0.002726	0.003998	0.040541	0.818182	0.000960	0.000183
14	0.961836	0.081818	0.002870	0.004104	0.043062	0.818182	0.000935	0.000178
15	0.967126	0.093750	0.002666	0.003897	0.049724	0.818182	0.000935	0.000177
16	0.976573	0.126761	0.002683	0.003923	0.068702	0.818182	0.000940	0.000178
17	0.982430	0.114286	0.002675	0.003903	0.063830	0.545455	0.000932	0.000177
18	0.982996	0.117647	0.002789	0.004025	0.065934	0.545455	0.000940	0.000177
19	0.988853	0.119403	0.002882	0.004110	0.071429	0.363636	0.000934	0.000176
20	0.996788	0.105263	0.002799	0.004037	0.125000	0.090909	0.000941	0.000178
21	0.991687	0.153846	0.002731	0.004003	0.097561	0.363636	0.000965	0.000181
22	0.992821	0.173913	0.002848	0.004104	0.114286	0.363636	0.000952	0.000180
23	0.993010	0.212766	0.003026	0.004288	0.138889	0.454545	0.000960	0.000180
24	0.995088	0.315789	0.002954	0.004197	0.222222	0.545455	0.000949	0.000175
25	0.997922	0.153846	0.003303	0.004594	0.500000	0.090909	0.000981	0.000180
26	0.997922	0.000000	0.003041	0.004288	0.000000	0.000000	0.000950	0.000176
27	0.995844	0.083333	0.003398	0.004835	0.076923	0.090909	0.001089	0.000203
28	0.998111	0.166667	0.003146	0.004434	1.000000	0.090909	0.000981	0.000183
29	0.998866	0.666667	0.003288	0.004598	0.857143	0.545455	0.000998	0.000185
30	0.999244	0.800000	0.003425	0.004721	0.888889	0.727273	0.000995	0.000181
31	0.999055	0.761905	0.004083	0.005558	0.800000	0.727273	0.001127	0.000202
32	0.999055	0.761905	0.003691	0.004989	0.800000	0.727273	0.000995	0.000181
33	0.998866	0.666667	0.003684	0.004986	0.857143	0.545455	0.000997	0.000183
34	0.999055	0.761905	0.007637	0.009486	0.800000	0.727273	0.001331	0.000298
35	0.999244	0.800000	0.004019	0.005571	0.888889	0.727273	0.001247	0.000180
36	0.998677	0.588235	0.003899	0.005192	0.833333	0.454545	0.000992	0.000179
37	0.997922	0.000000	0.003897	0.005193	0.000000	0.000000	0.000999	0.000178
38	0.997922	0.000000	0.003935	0.005231	0.000000	0.000000	0.000999	0.000177
39	0.997922	0.000000	0.003938	0.005254	0.000000	0.000000	0.001017	0.000179
40	0.997922	0.000000	0.004041	0.005763	0.000000	0.000000	0.001418	0.000179
41	0.997922	0.000000	0.007535	0.010648	0.000000	0.000000	0.002533	0.000347
42	0.997922	0.000000	0.004855	0.006408	0.000000	0.000000	0.001215	0.000193
43	0.997922	0.000000	0.004240	0.005645	0.000000	0.000000	0.001088	0.000187
44	0.997922	0.000000	0.004300	0.005756	0.000000	0.000000	0.001132	0.000188
45	0.997922	0.000000	0.004177	0.005547	0.000000	0.000000	0.001064	0.000183
46	0.997922	0.000000	0.004405	0.005793	0.000000	0.000000	0.001069	0.000185
47	0.997922	0.000000	0.004299	0.005735	0.000000	0.000000	0.001117	0.000186
48	0.997922	0.000000	0.004385	0.005822	0.000000	0.000000	0.001114	0.000188
49	0.997922	0.000000	0.004238	0.005881	0.000000	0.000000	0.001338	0.000180
50	0.997922	0.000000	0.004252	0.005698	0.000000	0.000000	0.001124	0.000189
51	0.997922	0.000000	0.004450	0.005931	0.000000	0.000000	0.001160	0.000189
52	0.997922	0.000000	0.004120	0.005515	0.000000	0.000000	0.001092	0.000181
53	0.997922	0.000000	0.004287	0.005711	0.000000	0.000000	0.001118	0.000185
54	0.997922	0.000000	0.004309	0.005734	0.000000	0.000000	0.001113	0.000187
55	0.997922	0.000000	0.004330	0.005740	0.000000	0.000000	0.001104	0.000184
56	0.997922	0.000000	0.004306	0.005713	0.000000	0.000000	0.001104	0.000183
57	0.997922	0.000000	0.004249	0.005650	0.000000	0.000000	0.001097	0.000183
58	0.997922	0.000000	0.004622	0.006231	0.000000	0.000000	0.001250	0.000213
59	0.997922	0.000000	0.004576	0.006091	0.000000	0.000000	0.001176	0.000197
60	0.997922	0.000000	0.004304	0.005757	0.000000	0.000000	0.001136	0.000192
61	0.997922	0.000000	0.004306	0.005721	0.000000	0.000000	0.001108	0.000185
62	0.997922	0.000000	0.004422	0.006131	0.000000	0.000000	0.001381	0.000192
63	0.997922	0.000000	0.004338	0.005786	0.000000	0.000000	0.001142	0.000183
64	0.997922	0.000000	0.004317	0.005764	0.000000	0.000000	0.001137	0.000186
65	0.997922	0.000000	0.004310	0.005752	0.000000	0.000000	0.001139	0.000180
66	0.997922	0.000000	0.004331	0.005729	0.000000	0.000000	0.001097	0.000180
67	0.997922	0.000000	0.004322	0.005757	0.000000	0.000000	0.001134	0.000180
