iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.851085	0.103934			0.057679	0.933334		
2	0.989545	0.194040	0.003284	0.004916	0.158618	0.500000	0.001246	0.000208
3	0.994039	0.293323	0.002464	0.003684	0.610170	0.500000	0.000914	0.000180
4	0.997166	0.417647	0.002435	0.003626	0.740000	0.466666	0.000898	0.000175
5	0.994723	0.311677	0.002543	0.003780	0.625000	0.500000	0.000929	0.000180
6	0.998241	0.537002	0.002572	0.003854	0.906250	0.500000	0.000967	0.000183
7	0.998241	0.537002	0.002593	0.003983	0.906250	0.500000	0.001067	0.000187
8	0.998241	0.525054	0.002638	0.003887	0.958333	0.433333	0.000946	0.000178
9	0.997850	0.403361	0.002575	0.003798	1.000000	0.266667	0.000922	0.000177
10	0.997850	0.462475	0.003189	0.004457	0.857143	0.400000	0.000955	0.000181
11	0.998339	0.540724	0.002635	0.003874	1.000000	0.433333	0.000933	0.000180
12	0.998436	0.625000	0.002817	0.004194	1.000000	0.466666	0.001076	0.000178
13	0.998436	0.756411	0.002654	0.003897	0.785714	0.766667	0.000936	0.000180
14	0.994919	0.573412	0.002852	0.004129	0.537112	0.800000	0.000961	0.000185
15	0.996385	0.643416	0.002690	0.003908	0.647728	0.800000	0.000921	0.000177
16	0.998632	0.784188	0.002939	0.004222	0.809524	0.800000	0.000973	0.000185
17	0.999316	0.874690	0.002764	0.003986	0.937500	0.833333	0.000924	0.000179
18	0.998925	0.828483	0.002687	0.003909	0.840909	0.866667	0.000927	0.000178
19	0.996873	0.681698	0.002687	0.003902	0.674419	0.866667	0.000920	0.000176
20	0.998339	0.771914	0.002554	0.003774	0.767857	0.866667	0.000927	0.000175
21	0.998730	0.807693	0.002534	0.003863	0.812500	0.866667	0.001033	0.000175
22	0.999121	0.851649	0.002558	0.003781	0.875000	0.866667	0.000924	0.000179
23	0.999316	0.877622	0.002523	0.004124	0.916667	0.866667	0.001301	0.000178
24	0.999316	0.877622	0.002586	0.003894	0.916667	0.866667	0.000998	0.000184
25	0.999316	0.877622	0.002541	0.003893	0.916667	0.866667	0.001049	0.000179
26	0.999316	0.877622	0.002638	0.003886	0.916667	0.866667	0.000945	0.000179
27	0.999023	0.839743	0.002597	0.003847	0.857143	0.866667	0.000944	0.000182
28	0.999609	0.923077	0.002611	0.003847	1.000000	0.866667	0.000937	0.000179
29	0.999609	0.923077	0.002653	0.003907	1.000000	0.866667	0.000951	0.000180
30	0.999804	0.964285	0.002632	0.003900	1.000000	0.933334	0.000976	0.000175
31	0.999804	0.964285	0.002643	0.003914	1.000000	0.933334	0.000976	0.000177
32	0.999804	0.964285	0.002744	0.004102	1.000000	0.933334	0.001049	0.000182
33	0.999804	0.964285	0.002953	0.004297	1.000000	0.933334	0.001028	0.000186
34	0.999804	0.964285	0.002861	0.004290	1.000000	0.933334	0.001116	0.000183
35	0.999804	0.964285	0.002796	0.004156	1.000000	0.933334	0.001038	0.000186
36	0.999804	0.964285	0.002968	0.004599	1.000000	0.933334	0.001115	0.000281
37	0.999804	0.964285	0.002761	0.004113	1.000000	0.933334	0.001035	0.000186
38	0.999804	0.964285	0.003069	0.004445	1.000000	0.933334	0.001049	0.000189
39	0.999804	0.964285	0.002849	0.004337	1.000000	0.933334	0.001168	0.000188
40	0.999804	0.964285	0.003092	0.004447	1.000000	0.933334	0.001035	0.000183
41	0.999804	0.964285	0.002850	0.004211	1.000000	0.933334	0.001041	0.000186
42	0.999804	0.964285	0.003100	0.004489	1.000000	0.933334	0.001059	0.000188
43	0.999804	0.964285	0.002850	0.004334	1.000000	0.933334	0.001172	0.000184
44	0.999804	0.964285	0.003043	0.004394	1.000000	0.933334	0.001034	0.000186
45	0.999804	0.964285	0.002850	0.004605	1.000000	0.933334	0.001387	0.000237
46	0.999804	0.964285	0.002888	0.004242	1.000000	0.933334	0.001037	0.000186
47	0.999804	0.964285	0.003113	0.004553	1.000000	0.933334	0.001065	0.000199
48	0.999804	0.964285	0.002821	0.004315	1.000000	0.933334	0.001180	0.000184
49	0.999804	0.964285	0.003115	0.004496	1.000000	0.933334	0.001060	0.000189
50	0.999804	0.964285	0.002876	0.004220	1.000000	0.933334	0.001032	0.000185
51	0.999804	0.964285	0.003117	0.004488	1.000000	0.933334	0.001049	0.000188
52	0.999804	0.964285	0.002942	0.004491	1.000000	0.933334	0.001184	0.000224
53	0.999804	0.964285	0.003121	0.004493	1.000000	0.933334	0.001051	0.000189
54	0.999804	0.964285	0.002899	0.004505	1.000000	0.933334	0.001293	0.000186
55	0.999804	0.964285	0.003150	0.004525	1.000000	0.933334	0.001053	0.000189
56	0.999804	0.964285	0.002918	0.004683	1.000000	0.933334	0.001414	0.000199
57	0.999804	0.964285	0.003076	0.004477	1.000000	0.933334	0.001051	0.000191
58	0.999804	0.964285	0.003091	0.004719	1.000000	0.933334	0.001161	0.000298
59	0.999804	0.964285	0.002913	0.004289	1.000000	0.933334	0.001059	0.000189
60	0.999804	0.964285	0.003322	0.004741	1.000000	0.933334	0.001090	0.000195
61	0.999804	0.964285	0.002979	0.004700	1.000000	0.933334	0.001401	0.000191
62	0.999804	0.964285	0.003291	0.004720	1.000000	0.933334	0.001099	0.000192
63	0.999804	0.964285	0.003034	0.004833	1.000000	0.933334	0.001420	0.000246
64	0.999804	0.964285	0.003039	0.004402	1.000000	0.933334	0.001047	0.000188
