iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.383525	0.006091			0.003056	0.909091		
2	0.735688	0.012737	0.002753	0.004046	0.006419	0.818182	0.000998	0.000159
3	0.751559	0.013504	0.002671	0.003919	0.006808	0.818182	0.000974	0.000148
4	0.764878	0.014268	0.004290	0.006035	0.007197	0.818182	0.001313	0.000256
5	0.777159	0.015036	0.002952	0.004193	0.007588	0.818182	0.000933	0.000180
6	0.871340	0.025751	0.004370	0.005896	0.013081	0.818182	0.001164	0.000212
7	0.869450	0.025660	0.003040	0.004440	0.013036	0.818182	0.001082	0.000183
8	0.883337	0.028343	0.002864	0.004446	0.014422	0.818182	0.001260	0.000186
9	0.912337	0.041468	0.003124	0.004534	0.021330	0.818182	0.001054	0.000203
10	0.908937	0.037151	0.003077	0.004400	0.019021	0.818182	0.000996	0.000189
11	0.923390	0.043000	0.002873	0.004139	0.022087	0.818182	0.000956	0.000182
12	0.935859	0.048189	0.002870	0.004209	0.024875	0.772728	0.000997	0.000206
13	0.940393	0.054369	0.002791	0.004058	0.028225	0.772728	0.000951	0.000185
14	0.942943	0.057091	0.003663	0.005810	0.029702	0.772728	0.001630	0.000308
15	0.941526	0.063037	0.002955	0.004275	0.033073	0.772728	0.000957	0.000200
16	0.943416	0.034454	0.002797	0.004322	0.018012	0.454546	0.001205	0.000186
17	0.947100	0.040924	0.003123	0.004439	0.021545	0.500000	0.000991	0.000189
18	0.943699	0.023966	0.002966	0.004255	0.012474	0.409091	0.000972	0.000185
19	0.947950	0.026434	0.002962	0.004262	0.013919	0.409091	0.000982	0.000185
20	0.950217	0.027863	0.002922	0.004315	0.014754	0.409091	0.001041	0.000220
21	0.953334	0.029846	0.003059	0.004335	0.015901	0.409091	0.000963	0.000183
22	0.954846	0.031323	0.002995	0.004341	0.016824	0.409091	0.001027	0.000184
23	0.956168	0.032622	0.003018	0.004308	0.017640	0.409091	0.000974	0.000184
24	0.956641	0.033364	0.002963	0.004228	0.018141	0.409091	0.000960	0.000179
25	0.958530	0.034532	0.003023	0.004316	0.018788	0.409091	0.000980	0.000184
26	0.959380	0.035758	0.003113	0.004430	0.019612	0.409091	0.000992	0.000188
27	0.960514	0.021334	0.003388	0.004856	0.010989	0.363636	0.001136	0.000195
28	0.965615	0.021680	0.002871	0.004171	0.011173	0.363636	0.000985	0.000186
29	0.965521	0.016394	0.002910	0.004280	0.008450	0.272728	0.001044	0.000189
30	0.965615	0.016438	0.002956	0.004322	0.008475	0.272728	0.001020	0.000191
31	0.965332	0.021506	0.003151	0.005005	0.011081	0.363636	0.001534	0.000188
32	0.964292	0.020887	0.003277	0.004709	0.010752	0.363636	0.001088	0.000199
33	0.965898	0.019231	0.002982	0.004300	0.009915	0.318182	0.001007	0.000182
34	0.967032	0.014368	0.003019	0.004448	0.007419	0.227272	0.001120	0.000182
35	0.968449	0.015015	0.002978	0.004306	0.007764	0.227272	0.001018	0.000182
36	0.971472	0.019802	0.003097	0.004426	0.010274	0.272728	0.001021	0.000182
37	0.971755	0.020000	0.004299	0.006228	0.010381	0.272728	0.001442	0.000277
38	0.972889	0.020834	0.003299	0.004693	0.010830	0.272728	0.001062	0.000188
39	0.975251	0.022814	0.003158	0.004491	0.011905	0.272728	0.001021	0.000184
40	0.977801	0.025424	0.003156	0.005173	0.013334	0.272728	0.001417	0.000333
41	0.980446	0.028846	0.002957	0.004431	0.015228	0.272728	0.001158	0.000185
42	0.979974	0.023696	0.003285	0.004620	0.012500	0.227272	0.001022	0.000184
43	0.978934	0.026786	0.003360	0.004730	0.014084	0.272728	0.001045	0.000188
44	0.982052	0.031413	0.003217	0.004609	0.016667	0.272728	0.001067	0.000188
45	0.984225	0.035714	0.003437	0.004792	0.019109	0.272728	0.001045	0.000184
46	0.984697	0.025157	0.003291	0.004630	0.013513	0.181818	0.001029	0.000184
47	0.994805	0.021739	0.003161	0.004641	0.014285	0.045455	0.001172	0.000182
48	0.997922	0.000000	0.003451	0.005615	0.000000	0.000000	0.001806	0.000227
49	0.998017	0.083334	0.003646	0.005428	0.500000	0.045455	0.001311	0.000309
50	0.997922	0.000000	0.003436	0.004854	0.000000	0.000000	0.001094	0.000190
51	0.998017	0.083334	0.003904	0.005533	0.500000	0.045455	0.001148	0.000216
52	0.998300	0.266666	0.003739	0.005208	0.500000	0.181818	0.001124	0.000204
53	0.998017	0.083334	0.004229	0.005820	0.500000	0.045455	0.001244	0.000204
54	0.997922	0.000000	0.004129	0.005762	0.000000	0.000000	0.001303	0.000196
55	0.997922	0.000000	0.003886	0.005430	0.000000	0.000000	0.001187	0.000215
56	0.997922	0.000000	0.003922	0.005335	0.000000	0.000000	0.001094	0.000189
57	0.997922	0.000000	0.003837	0.005291	0.000000	0.000000	0.001129	0.000191
58	0.997922	0.000000	0.005914	0.008087	0.000000	0.000000	0.001654	0.000326
59	0.997922	0.000000	0.004339	0.005895	0.000000	0.000000	0.001200	0.000206
60	0.997922	0.000000	0.003863	0.005443	0.000000	0.000000	0.001254	0.000192
61	0.997922	0.000000	0.003929	0.005369	0.000000	0.000000	0.001126	0.000187
62	0.997922	0.000000	0.004088	0.005553	0.000000	0.000000	0.001148	0.000190
63	0.997922	0.000000	0.004866	0.007503	0.000000	0.000000	0.001949	0.000513
64	0.997922	0.000000	0.004046	0.005524	0.000000	0.000000	0.001158	0.000189
65	0.997922	0.000000	0.004168	0.005706	0.000000	0.000000	0.001181	0.000210
66	0.997922	0.000000	0.004086	0.005586	0.000000	0.000000	0.001180	0.000188
67	0.997922	0.000000	0.004526	0.006100	0.000000	0.000000	0.001247	0.000190
68	0.997922	0.000000	0.005187	0.007253	0.000000	0.000000	0.001702	0.000209
69	0.997922	0.000000	0.004071	0.005696	0.000000	0.000000	0.001299	0.000189
70	0.997922	0.000000	0.004841	0.007168	0.000000	0.000000	0.001785	0.000321
71	0.997922	0.000000	0.004051	0.005531	0.000000	0.000000	0.001161	0.000187
72	0.997922	0.000000	0.004085	0.005597	0.000000	0.000000	0.001187	0.000191
73	0.997922	0.000000	0.004214	0.005735	0.000000	0.000000	0.001195	0.000191
74	0.997922	0.000000	0.004150	0.005850	0.000000	0.000000	0.001376	0.000191
75	0.997922	0.000000	0.004190	0.005789	0.000000	0.000000	0.001233	0.000198
76	0.997922	0.000000	0.004445	0.006093	0.000000	0.000000	0.001280	0.000209
77	0.997922	0.000000	0.004285	0.005803	0.000000	0.000000	0.001192	0.000191
78	0.997922	0.000000	0.004235	0.006245	0.000000	0.000000	0.001678	0.000193
79	0.997922	0.000000	0.004164	0.005714	0.000000	0.000000	0.001223	0.000193
80	0.997922	0.000000	0.004283	0.005807	0.000000	0.000000	0.001202	0.000189
81	0.997922	0.000000	0.004055	0.005683	0.000000	0.000000	0.001311	0.000188
82	0.997922	0.000000	0.004442	0.006173	0.000000	0.000000	0.001393	0.000197
83	0.997922	0.000000	0.004240	0.005768	0.000000	0.000000	0.001204	0.000189
84	0.997922	0.000000	0.004202	0.005822	0.000000	0.000000	0.001254	0.000237
85	0.997922	0.000000	0.004309	0.005823	0.000000	0.000000	0.001194	0.000186
86	0.997922	0.000000	0.004143	0.005701	0.000000	0.000000	0.001241	0.000189
87	0.997922	0.000000	0.005162	0.006894	0.000000	0.000000	0.001392	0.000199
88	0.997922	0.000000	0.004269	0.005837	0.000000	0.000000	0.001251	0.000187
89	0.997922	0.000000	0.004281	0.005836	0.000000	0.000000	0.001231	0.000190
90	0.997922	0.000000	0.004494	0.006037	0.000000	0.000000	0.001218	0.000192
91	0.997922	0.000000	0.004658	0.006353	0.000000	0.000000	0.001346	0.000204
92	0.997922	0.000000	0.004672	0.007333	0.000000	0.000000	0.002102	0.000331
93	0.997922	0.000000	0.004837	0.006448	0.000000	0.000000	0.001280	0.000194
94	0.997922	0.000000	0.004262	0.005898	0.000000	0.000000	0.001308	0.000193
95	0.997922	0.000000	0.005969	0.008637	0.000000	0.000000	0.002066	0.000364
96	0.997922	0.000000	0.004557	0.006156	0.000000	0.000000	0.001272	0.000192
97	0.997922	0.000000	0.004355	0.005949	0.000000	0.000000	0.001269	0.000192
98	0.997922	0.000000	0.004250	0.005937	0.000000	0.000000	0.001366	0.000190
99	0.997922	0.000000	0.004285	0.005873	0.000000	0.000000	0.001259	0.000193
100	0.997922	0.000000	0.004398	0.005979	0.000000	0.000000	0.001250	0.000195
101	0.997922	0.000000	0.004572	0.006333	0.000000	0.000000	0.001429	0.000197
