iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.383336	0.006695			0.003359	1.000000		
2	0.749669	0.013403	0.002769	0.004092	0.006757	0.818182	0.001046	0.000135
3	0.749669	0.013403	0.002728	0.003912	0.006757	0.818182	0.000940	0.000118
4	0.758171	0.013867	0.002880	0.004122	0.006993	0.818182	0.000934	0.000183
5	0.781220	0.015306	0.002836	0.004070	0.007725	0.818182	0.000927	0.000179
6	0.871717	0.025825	0.005865	0.007639	0.013120	0.818182	0.001365	0.000240
7	0.883242	0.028302	0.003139	0.004684	0.014400	0.818182	0.001222	0.000184
8	0.880219	0.027607	0.002878	0.004806	0.014041	0.818182	0.001591	0.000191
9	0.883620	0.028391	0.003189	0.004593	0.014446	0.818182	0.001048	0.000203
10	0.892311	0.030612	0.003152	0.004538	0.015598	0.818182	0.001040	0.000197
11	0.914793	0.038380	0.002849	0.004143	0.019651	0.818182	0.000977	0.000185
12	0.930474	0.041667	0.002910	0.004339	0.021448	0.727273	0.001050	0.000232
13	0.926507	0.039506	0.002815	0.004104	0.020305	0.727273	0.000966	0.000187
14	0.928774	0.040712	0.002652	0.003928	0.020942	0.727273	0.000976	0.000178
15	0.917060	0.035165	0.002810	0.004146	0.018018	0.727273	0.000963	0.000188
16	0.922728	0.028504	0.002780	0.004581	0.014634	0.545455	0.001467	0.000191
17	0.924051	0.033654	0.003353	0.004699	0.017284	0.636364	0.001010	0.000191
18	0.914226	0.034043	0.003093	0.004401	0.017429	0.727273	0.000986	0.000186
19	0.916682	0.035011	0.003086	0.004413	0.017937	0.727273	0.001002	0.000187
20	0.919327	0.036117	0.003023	0.004501	0.018519	0.727273	0.001095	0.000253
21	0.923862	0.038186	0.003268	0.004545	0.019608	0.727273	0.000959	0.000185
22	0.925184	0.038835	0.003125	0.004444	0.019950	0.727273	0.000995	0.000186
23	0.926696	0.039604	0.003144	0.004453	0.020356	0.727273	0.000986	0.000186
24	0.926885	0.039702	0.003066	0.004330	0.020408	0.727273	0.000961	0.000177
25	0.930474	0.041667	0.003131	0.004452	0.021448	0.727273	0.000999	0.000186
26	0.931230	0.042105	0.003295	0.004631	0.021680	0.727273	0.001007	0.000189
27	0.932175	0.042667	0.003885	0.005331	0.021978	0.727273	0.001095	0.000204
28	0.933308	0.043360	0.002954	0.004244	0.022346	0.727273	0.000976	0.000186
29	0.933119	0.032787	0.003158	0.004554	0.016901	0.545455	0.001056	0.000196
30	0.933308	0.032877	0.003239	0.004696	0.016949	0.545455	0.001072	0.000202
31	0.932741	0.043011	0.003403	0.005806	0.022161	0.727273	0.002070	0.000193
32	0.930663	0.041775	0.003730	0.005224	0.021505	0.727273	0.001129	0.000210
33	0.933875	0.038462	0.003230	0.004523	0.019830	0.636364	0.000983	0.000182
34	0.936142	0.028736	0.003227	0.004762	0.014837	0.454545	0.001224	0.000183
35	0.938976	0.030030	0.003212	0.004513	0.015528	0.454545	0.000993	0.000182
36	0.945022	0.039604	0.003225	0.004517	0.020548	0.545455	0.000988	0.000180
37	0.945589	0.040000	0.003218	0.004522	0.020761	0.545455	0.001000	0.000180
38	0.947856	0.041667	0.003487	0.004865	0.021661	0.545455	0.001052	0.000188
39	0.952579	0.045627	0.003236	0.004555	0.023810	0.545455	0.001007	0.000183
40	0.957680	0.050847	0.003245	0.005916	0.026667	0.545455	0.001796	0.000478
41	0.962970	0.057692	0.003231	0.004555	0.030457	0.545455	0.001001	0.000186
42	0.962025	0.047393	0.003130	0.004417	0.025000	0.454545	0.000982	0.000179
43	0.959947	0.053571	0.003315	0.004660	0.028169	0.545455	0.001026	0.000185
44	0.966182	0.062827	0.003588	0.004936	0.033333	0.545455	0.001026	0.000187
45	0.970527	0.071429	0.003444	0.004756	0.038217	0.545455	0.001003	0.000183
46	0.971472	0.050314	0.003452	0.004770	0.027027	0.363636	0.001010	0.000182
47	0.991687	0.043478	0.003308	0.004856	0.028571	0.090909	0.001236	0.000183
48	0.997922	0.000000	0.003519	0.004947	0.000000	0.000000	0.001094	0.000194
49	0.998111	0.166667	0.003521	0.004936	1.000000	0.090909	0.001081	0.000191
50	0.997922	0.000000	0.003512	0.004888	0.000000	0.000000	0.001059	0.000188
51	0.998111	0.166667	0.003610	0.004980	1.000000	0.090909	0.001057	0.000184
52	0.998677	0.533333	0.003797	0.005147	1.000000	0.363636	0.001038	0.000186
53	0.998111	0.166667	0.004165	0.005620	1.000000	0.090909	0.001116	0.000197
54	0.997922	0.000000	0.004050	0.005445	0.000000	0.000000	0.001082	0.000186
