iter	accuracy	fscore	get_next_time	iteration_time	precision	recall	retrain_time	update_time
1	0.398262	0.005620			0.002820	0.818182		
2	0.722464	0.012105	0.002701	0.003907	0.006098	0.818182	0.000955	0.000120
3	0.757793	0.013846	0.002686	0.003949	0.006982	0.818182	0.001011	0.000121
4	0.785944	0.015639	0.002784	0.004380	0.007895	0.818182	0.001265	0.000190
5	0.863027	0.024226	0.002873	0.004161	0.012295	0.818182	0.000965	0.000184
6	0.868883	0.025281	0.002924	0.004379	0.012839	0.818182	0.001131	0.000185
7	0.878519	0.027231	0.003039	0.004341	0.013846	0.818182	0.000975	0.000190
8	0.882675	0.028169	0.002769	0.004371	0.014331	0.818182	0.001282	0.000189
9	0.890043	0.030000	0.003085	0.004464	0.015280	0.818182	0.001038	0.000197
10	0.889288	0.029801	0.003276	0.004612	0.015177	0.818182	0.001004	0.000188
11	0.903268	0.033962	0.003038	0.004327	0.017341	0.818182	0.000969	0.000184
12	0.935197	0.049861	0.003031	0.004376	0.025714	0.818182	0.001006	0.000200
13	0.959380	0.077253	0.003271	0.004571	0.040541	0.818182	0.000972	0.000190
14	0.961836	0.081818	0.003370	0.004681	0.043062	0.818182	0.000982	0.000189
15	0.967126	0.093750	0.002823	0.004118	0.049724	0.818182	0.000975	0.000184
16	0.976573	0.126761	0.002896	0.004215	0.068702	0.818182	0.000990	0.000189
17	0.982430	0.114286	0.002727	0.003981	0.063830	0.545455	0.000954	0.000177
18	0.982996	0.117647	0.002834	0.004127	0.065934	0.545455	0.000977	0.000184
19	0.987531	0.131579	0.004421	0.006014	0.076923	0.454545	0.001171	0.000247
20	0.991687	0.153846	0.002749	0.004009	0.097561	0.363636	0.000956	0.000180
21	0.995844	0.388889	0.002635	0.003919	0.280000	0.636364	0.000976	0.000182
22	0.990554	0.242424	0.002738	0.004054	0.145455	0.727273	0.001006	0.000181
23	0.990554	0.242424	0.003594	0.005092	0.145455	0.727273	0.001163	0.000195
24	0.992632	0.290909	0.002968	0.004393	0.181818	0.727273	0.001090	0.000198
25	0.994332	0.347826	0.002710	0.004511	0.228571	0.727273	0.001334	0.000283
26	0.995466	0.400000	0.002953	0.004574	0.275862	0.727273	0.001304	0.000185
27	0.998111	0.615385	0.002769	0.004074	0.533333	0.727273	0.001003	0.000182
28	0.999055	0.761905	0.002699	0.004034	0.800000	0.727273	0.001030	0.000180
29	0.999055	0.736842	0.002787	0.004095	0.875000	0.636364	0.000997	0.000183
30	0.999244	0.800000	0.002677	0.003973	0.888889	0.727273	0.000995	0.000180
31	0.999055	0.761905	0.002774	0.004101	0.800000	0.727273	0.001028	0.000178
32	0.999055	0.761905	0.002996	0.004416	0.800000	0.727273	0.001095	0.000193
33	0.999055	0.761905	0.003812	0.005329	0.800000	0.727273	0.001178	0.000200
34	0.999055	0.761905	0.003096	0.004486	0.800000	0.727273	0.001089	0.000179
35	0.999055	0.761905	0.002971	0.004390	0.800000	0.727273	0.001102	0.000182
36	0.999055	0.761905	0.003056	0.004449	0.800000	0.727273	0.001095	0.000177
37	0.999055	0.761905	0.003044	0.004437	0.800000	0.727273	0.001091	0.000180
38	0.999055	0.761905	0.002988	0.004384	0.800000	0.727273	0.001086	0.000178
39	0.999055	0.761905	0.003015	0.004614	0.800000	0.727273	0.001302	0.000177
40	0.999055	0.761905	0.003009	0.004442	0.800000	0.727273	0.001136	0.000177
41	0.999055	0.761905	0.003035	0.004448	0.800000	0.727273	0.001112	0.000179
42	0.999055	0.761905	0.003027	0.004448	0.800000	0.727273	0.001125	0.000176
43	0.999055	0.761905	0.003019	0.004421	0.800000	0.727273	0.001109	0.000176
44	0.999055	0.761905	0.003037	0.004460	0.800000	0.727273	0.001126	0.000178
45	0.999055	0.761905	0.003052	0.004472	0.800000	0.727273	0.001121	0.000180
46	0.999055	0.761905	0.003101	0.004575	0.800000	0.727273	0.001165	0.000183
47	0.999055	0.761905	0.003069	0.004552	0.800000	0.727273	0.001183	0.000179
48	0.999055	0.761905	0.003115	0.004597	0.800000	0.727273	0.001169	0.000185
49	0.999055	0.761905	0.003430	0.005050	0.800000	0.727273	0.001277	0.000201
50	0.999055	0.761905	0.003155	0.004632	0.800000	0.727273	0.001171	0.000183
51	0.999055	0.761905	0.003077	0.004539	0.800000	0.727273	0.001159	0.000182
52	0.999055	0.761905	0.003102	0.004580	0.800000	0.727273	0.001172	0.000183
53	0.999055	0.761905	0.003100	0.004803	0.800000	0.727273	0.001396	0.000184
54	0.999055	0.761905	0.003192	0.004707	0.800000	0.727273	0.001188	0.000189
55	0.999055	0.761905	0.003104	0.004580	0.800000	0.727273	0.001173	0.000181
