CMDLINE /home/cedar/ldipalma/explore_by_example/.env/bin/python3.6 run_experiment.py
MEM 1507.367188 1516011884.4732
MEM 1509.929688 1516011884.5734
MEM 1512.492188 1516011884.6736
MEM 1515.058594 1516011884.7739
MEM 1517.625000 1516011884.8742
MEM 1396.574219 1516011884.9746
MEM 1217.574219 1516011885.0748
MEM 997.324219 1516011885.1751
MEM 731.324219 1516011885.2753
MEM 530.074219 1516011885.3755
MEM 366.578125 1516011885.4758
MEM 366.578125 1516011885.5760
MEM 366.578125 1516011885.6762
MEM 307.171875 1516011885.7765
MEM 307.183594 1516011885.8767
MEM 307.203125 1516011885.9769
MEM 307.210938 1516011886.0772
MEM 307.210938 1516011886.1774
MEM 307.222656 1516011886.2776
MEM 307.222656 1516011886.3779
MEM 307.621094 1516011886.4783
MEM 307.621094 1516011886.5785
MEM 307.621094 1516011886.6789
MEM 307.621094 1516011886.7791
MEM 307.621094 1516011886.8795
MEM 307.621094 1516011886.9798
MEM 307.621094 1516011887.0801
MEM 307.621094 1516011887.1803
MEM 307.621094 1516011887.2806
MEM 307.621094 1516011887.3809
MEM 307.621094 1516011887.4812
MEM 307.621094 1516011887.5816
MEM 307.621094 1516011887.6818
MEM 307.621094 1516011887.7822
MEM 307.621094 1516011887.8826
MEM 307.621094 1516011887.9829
MEM 307.621094 1516011888.0833
MEM 307.621094 1516011888.1836
MEM 307.621094 1516011888.2840
MEM 307.621094 1516011888.3842
MEM 307.621094 1516011888.4846
MEM 307.621094 1516011888.5848
MEM 307.621094 1516011888.6851
MEM 307.621094 1516011888.7853
MEM 307.621094 1516011888.8856
MEM 307.621094 1516011888.9859
MEM 307.621094 1516011889.0863
MEM 307.621094 1516011889.1866
MEM 307.621094 1516011889.2870
MEM 307.621094 1516011889.3874
MEM 307.621094 1516011889.4876
MEM 307.621094 1516011889.5878
MEM 307.636719 1516011889.6881
MEM 307.636719 1516011889.7883
MEM 307.636719 1516011889.8885
MEM 307.636719 1516011889.9889
MEM 307.636719 1516011890.0891
MEM 307.636719 1516011890.1895
MEM 307.636719 1516011890.2909
MEM 307.636719 1516011890.3913
MEM 307.636719 1516011890.4916
MEM 307.636719 1516011890.5920
MEM 307.636719 1516011890.6924
MEM 307.636719 1516011890.7926
MEM 307.636719 1516011890.8930
MEM 307.636719 1516011890.9934
MEM 307.636719 1516011891.0937
MEM 307.636719 1516011891.1939
MEM 307.636719 1516011891.2942
MEM 307.636719 1516011891.3945
MEM 307.636719 1516011891.4947
MEM 307.636719 1516011891.5950
MEM 307.636719 1516011891.6952
MEM 307.636719 1516011891.7955
MEM 307.636719 1516011891.8959
MEM 307.636719 1516011891.9962
MEM 307.636719 1516011892.0965
MEM 307.636719 1516011892.1967
MEM 307.636719 1516011892.2971
MEM 307.636719 1516011892.3975
MEM 307.636719 1516011892.4977
MEM 307.636719 1516011892.5981
MEM 307.636719 1516011892.6984
MEM 307.636719 1516011892.7986
MEM 307.636719 1516011892.8990
MEM 307.636719 1516011892.9992
MEM 307.636719 1516011893.0996
MEM 307.636719 1516011893.2000
MEM 307.636719 1516011893.3002
MEM 307.636719 1516011893.4004
MEM 307.636719 1516011893.5007
MEM 307.636719 1516011893.6011
MEM 307.636719 1516011893.7013
MEM 307.636719 1516011893.8015
MEM 307.636719 1516011893.9018
MEM 307.636719 1516011894.0021
MEM 307.636719 1516011894.1025
MEM 307.636719 1516011894.2027
MEM 307.636719 1516011894.3031
MEM 307.636719 1516011894.4035
MEM 307.636719 1516011894.5037
MEM 307.636719 1516011894.6041
MEM 307.636719 1516011894.7043
MEM 307.636719 1516011894.8046
MEM 307.636719 1516011894.9049
MEM 307.636719 1516011895.0052
MEM 307.636719 1516011895.1054
MEM 307.636719 1516011895.2058
MEM 307.636719 1516011895.3062
MEM 307.636719 1516011895.4064
MEM 307.636719 1516011895.5068
MEM 307.636719 1516011895.6070
MEM 307.636719 1516011895.7074
MEM 307.636719 1516011895.8078
MEM 307.636719 1516011895.9082
MEM 307.636719 1516011896.0086
MEM 307.636719 1516011896.1089
MEM 307.636719 1516011896.2092
MEM 307.636719 1516011896.3094
MEM 307.636719 1516011896.4097
MEM 307.636719 1516011896.5099
MEM 307.636719 1516011896.6103
MEM 307.636719 1516011896.7106
MEM 307.636719 1516011896.8109
MEM 307.636719 1516011896.9113
MEM 307.636719 1516011897.0117
MEM 307.636719 1516011897.1119
MEM 307.636719 1516011897.2122
MEM 307.636719 1516011897.3126
MEM 307.636719 1516011897.4128
MEM 307.636719 1516011897.5132
MEM 307.636719 1516011897.6135
MEM 307.636719 1516011897.7138
MEM 307.636719 1516011897.8140
MEM 307.636719 1516011897.9144
MEM 307.636719 1516011898.0147
MEM 307.636719 1516011898.1150
MEM 307.636719 1516011898.2154
MEM 307.636719 1516011898.3156
MEM 307.636719 1516011898.4160
MEM 307.636719 1516011898.5162
MEM 307.636719 1516011898.6165
MEM 307.636719 1516011898.7168
MEM 307.636719 1516011898.8171
MEM 307.636719 1516011898.9175
MEM 307.636719 1516011899.0177
MEM 307.636719 1516011899.1180
MEM 307.636719 1516011899.2182
MEM 307.636719 1516011899.3186
MEM 307.636719 1516011899.4189
MEM 307.636719 1516011899.5192
MEM 307.636719 1516011899.6196
MEM 307.636719 1516011899.7199
MEM 307.636719 1516011899.8204
MEM 307.636719 1516011899.9206
MEM 307.636719 1516011900.0208
MEM 307.636719 1516011900.1211
MEM 307.636719 1516011900.2215
MEM 307.636719 1516011900.3218
MEM 307.636719 1516011900.4221
MEM 307.636719 1516011900.5238
MEM 307.636719 1516011900.6241
MEM 307.636719 1516011900.7244
MEM 307.636719 1516011900.8246
MEM 307.636719 1516011900.9250
MEM 307.636719 1516011901.0252
MEM 307.636719 1516011901.1254
MEM 307.636719 1516011901.2257
MEM 307.636719 1516011901.3260
MEM 307.636719 1516011901.4262
MEM 307.636719 1516011901.5264
MEM 307.636719 1516011901.6267
MEM 307.636719 1516011901.7270
MEM 307.636719 1516011901.8273
MEM 307.636719 1516011901.9275
MEM 307.636719 1516011902.0277
MEM 307.636719 1516011902.1280
MEM 307.636719 1516011902.2282
MEM 307.636719 1516011902.3285
MEM 307.636719 1516011902.4287
MEM 307.636719 1516011902.5290
MEM 307.636719 1516011902.6293
MEM 307.636719 1516011902.7295
MEM 307.636719 1516011902.8298
MEM 307.636719 1516011902.9300
MEM 307.636719 1516011903.0303
MEM 307.636719 1516011903.1305
MEM 307.636719 1516011903.2308
MEM 307.636719 1516011903.3310
MEM 307.636719 1516011903.4312
MEM 307.636719 1516011903.5315
MEM 307.636719 1516011903.6317
MEM 307.636719 1516011903.7321
MEM 307.636719 1516011903.8324
MEM 307.636719 1516011903.9327
MEM 307.636719 1516011904.0329
MEM 307.636719 1516011904.1332
MEM 307.636719 1516011904.2335
MEM 307.636719 1516011904.3337
MEM 307.636719 1516011904.4339
MEM 307.636719 1516011904.5342
MEM 307.636719 1516011904.6344
MEM 307.636719 1516011904.7347
MEM 307.636719 1516011904.8350
MEM 307.636719 1516011904.9354
MEM 307.636719 1516011905.0356
MEM 307.636719 1516011905.1359
MEM 307.636719 1516011905.2361
MEM 307.636719 1516011905.3363
MEM 307.636719 1516011905.4366
MEM 307.636719 1516011905.5368
MEM 307.636719 1516011905.6370
MEM 307.636719 1516011905.7374
MEM 307.636719 1516011905.8378
MEM 307.636719 1516011905.9382
MEM 307.636719 1516011906.0385
MEM 307.636719 1516011906.1389
MEM 307.636719 1516011906.2392
MEM 307.636719 1516011906.3395
MEM 307.636719 1516011906.4397
MEM 307.636719 1516011906.5401
MEM 307.636719 1516011906.6405
MEM 307.636719 1516011906.7409
MEM 307.636719 1516011906.8412
MEM 307.636719 1516011906.9415
MEM 307.636719 1516011907.0418
MEM 307.636719 1516011907.1422
MEM 307.636719 1516011907.2424
MEM 307.636719 1516011907.3427
MEM 307.636719 1516011907.4429
MEM 307.636719 1516011907.5431
MEM 307.636719 1516011907.6435
MEM 307.636719 1516011907.7439
MEM 307.636719 1516011907.8441
MEM 307.636719 1516011907.9445
MEM 307.636719 1516011908.0447
MEM 307.636719 1516011908.1449
MEM 307.636719 1516011908.2453
MEM 307.636719 1516011908.3456
MEM 307.636719 1516011908.4458
MEM 307.636719 1516011908.5461
MEM 307.636719 1516011908.6463
MEM 307.636719 1516011908.7467
MEM 307.636719 1516011908.8469
MEM 307.636719 1516011908.9471
MEM 307.636719 1516011909.0474
MEM 307.636719 1516011909.1477
MEM 307.636719 1516011909.2481
MEM 307.636719 1516011909.3485
MEM 307.636719 1516011909.4487
MEM 307.636719 1516011909.5489
MEM 307.636719 1516011909.6492
MEM 307.636719 1516011909.7494
MEM 307.636719 1516011909.8497
MEM 307.636719 1516011909.9500
MEM 307.636719 1516011910.0505
MEM 307.636719 1516011910.1508
MEM 307.636719 1516011910.2511
MEM 307.636719 1516011910.3514
MEM 307.636719 1516011910.4518
MEM 307.636719 1516011910.5520
MEM 307.636719 1516011910.6522
MEM 307.636719 1516011910.7534
MEM 307.636719 1516011910.8536
MEM 307.636719 1516011910.9539
MEM 307.636719 1516011911.0541
MEM 307.636719 1516011911.1544
MEM 307.636719 1516011911.2546
MEM 307.636719 1516011911.3549
MEM 307.636719 1516011911.4551
MEM 307.636719 1516011911.5553
MEM 307.636719 1516011911.6557
MEM 307.636719 1516011911.7560
MEM 307.636719 1516011911.8563
MEM 307.636719 1516011911.9567
MEM 307.636719 1516011912.0569
MEM 307.636719 1516011912.1572
MEM 307.636719 1516011912.2575
MEM 307.636719 1516011912.3578
MEM 307.636719 1516011912.4580
MEM 307.636719 1516011912.5584
MEM 307.636719 1516011912.6588
MEM 307.636719 1516011912.7590
MEM 307.636719 1516011912.8593
MEM 307.636719 1516011912.9595
MEM 307.636719 1516011913.0599
MEM 307.636719 1516011913.1602
MEM 307.636719 1516011913.2606
MEM 307.636719 1516011913.3608
MEM 307.636719 1516011913.4612
MEM 307.636719 1516011913.5616
MEM 307.636719 1516011913.6618
MEM 307.636719 1516011913.7622
MEM 307.636719 1516011913.8625
MEM 307.636719 1516011913.9628
MEM 307.636719 1516011914.0632
MEM 307.636719 1516011914.1636
MEM 307.636719 1516011914.2640
MEM 307.636719 1516011914.3644
MEM 307.636719 1516011914.4647
MEM 307.636719 1516011914.5651
MEM 307.636719 1516011914.6655
MEM 307.636719 1516011914.7657
MEM 307.636719 1516011914.8660
MEM 307.636719 1516011914.9664
MEM 307.636719 1516011915.0667
MEM 307.636719 1516011915.1670
MEM 307.636719 1516011915.2672
MEM 307.636719 1516011915.3674
MEM 307.636719 1516011915.4678
MEM 307.636719 1516011915.5680
MEM 307.636719 1516011915.6683
MEM 307.636719 1516011915.7686
MEM 307.636719 1516011915.8690
MEM 307.636719 1516011915.9693
MEM 307.636719 1516011916.0696
MEM 307.636719 1516011916.1699
MEM 307.636719 1516011916.2702
MEM 307.636719 1516011916.3704
MEM 307.636719 1516011916.4706
MEM 307.636719 1516011916.5710
MEM 307.636719 1516011916.6713
MEM 307.636719 1516011916.7715
MEM 307.636719 1516011916.8717
MEM 307.636719 1516011916.9721
MEM 307.636719 1516011917.0723
MEM 307.636719 1516011917.1726
MEM 307.636719 1516011917.2728
MEM 307.636719 1516011917.3730
MEM 307.636719 1516011917.4734
MEM 307.636719 1516011917.5738
MEM 307.636719 1516011917.6740
MEM 307.636719 1516011917.7743
MEM 307.636719 1516011917.8745
MEM 307.636719 1516011917.9749
MEM 307.636719 1516011918.0751
MEM 307.636719 1516011918.1755
MEM 307.636719 1516011918.2759
MEM 307.636719 1516011918.3761
MEM 307.636719 1516011918.4764
MEM 307.636719 1516011918.5768
MEM 307.636719 1516011918.6770
MEM 307.636719 1516011918.7773
MEM 307.636719 1516011918.8775
MEM 307.636719 1516011918.9777
MEM 307.636719 1516011919.0781
MEM 307.636719 1516011919.1785
MEM 307.636719 1516011919.2788
MEM 307.636719 1516011919.3791
MEM 307.636719 1516011919.4794
MEM 307.636719 1516011919.5797
MEM 307.636719 1516011919.6799
MEM 307.636719 1516011919.7802
MEM 307.636719 1516011919.8805
MEM 307.636719 1516011919.9807
MEM 307.699219 1516011920.0811
MEM 307.777344 1516011920.1815
MEM 310.148438 1516011920.2819
MEM 314.531250 1516011920.3823
MEM 318.914062 1516011920.4826
MEM 323.554688 1516011920.5829
MEM 327.937500 1516011920.6832
MEM 334.125000 1516011920.7836
MEM 336.960938 1516011920.8838
MEM 341.601562 1516011920.9842
MEM 346.242188 1516011921.0846
MEM 350.625000 1516011921.1848
MEM 355.265625 1516011921.2851
MEM 360.937500 1516011921.3854
MEM 364.289062 1516011921.4858
MEM 369.000000 1516011921.5861
MEM 373.382812 1516011921.6863
MEM 378.023438 1516011921.7867
MEM 382.664062 1516011921.8870
MEM 387.304688 1516011921.9874
MEM 391.687500 1516011922.0878
MEM 396.328125 1516011922.1880
MEM 400.968750 1516011922.2883
MEM 405.351562 1516011922.3885
MEM 413.859375 1516011922.4888
MEM 414.375000 1516011922.5891
MEM 419.015625 1516011922.6894
MEM 423.656250 1516011922.7896
MEM 428.039062 1516011922.8898
MEM 432.679688 1516011922.9902
MEM 437.062500 1516011923.0904
MEM 441.703125 1516011923.1907
MEM 446.085938 1516011923.2909
MEM 450.468750 1516011923.3912
MEM 455.109375 1516011923.4914
MEM 459.492188 1516011923.5918
MEM 463.875000 1516011923.6922
MEM 468.515625 1516011923.7926
MEM 472.898438 1516011923.8929
MEM 477.539062 1516011923.9933
MEM 481.765625 1516011924.0935
MEM 508.554688 1516011924.1937
MEM 535.625000 1516011924.2940
MEM 562.691406 1516011924.3944
MEM 589.757812 1516011924.4946
MEM 616.824219 1516011924.5949
MEM 643.894531 1516011924.6952
MEM 670.960938 1516011924.7955
MEM 697.769531 1516011924.8958
MEM 724.835938 1516011924.9961
MEM 751.898438 1516011925.0964
MEM 778.964844 1516011925.1967
MEM 814.460938 1516011925.2970
MEM 849.261719 1516011925.3974
MEM 871.312500 1516011925.4978
MEM 895.285156 1516011925.5982
MEM 923.898438 1516011925.6984
MEM 952.250000 1516011925.7988
MEM 981.125000 1516011925.8992
MEM 1041.191406 1516011925.9995
MEM 1051.242188 1516011926.1006
MEM 1064.132812 1516011926.2009
MEM 1077.023438 1516011926.3013
MEM 1086.156250 1516011926.4015
MEM 1067.371094 1516011926.5018
MEM 929.964844 1516011926.6021
MEM 821.015625 1516011926.7023
MEM 541.265625 1516011926.8026
MEM 625.140625 1516011926.9030
MEM 687.222656 1516011927.0033
MEM 713.718750 1516011927.1035
MEM 731.765625 1516011927.2039
MEM 749.550781 1516011927.3041
MEM 767.593750 1516011927.4044
MEM 785.640625 1516011927.5047
MEM 803.425781 1516011927.6049
MEM 821.472656 1516011927.7051
MEM 839.515625 1516011927.8054
MEM 857.304688 1516011927.9056
MEM 875.347656 1516011928.0058
MEM 893.394531 1516011928.1061
MEM 911.179688 1516011928.2063
MEM 929.222656 1516011928.3067
MEM 947.265625 1516011928.4071
MEM 965.312500 1516011928.5075
MEM 983.355469 1516011928.6077
MEM 1001.398438 1516011928.7081
MEM 1019.441406 1516011928.8085
MEM 1037.484375 1516011928.9087
MEM 1055.527344 1516011929.0091
MEM 1073.570312 1516011929.1095
MEM 1091.617188 1516011929.2098
MEM 1109.660156 1516011929.3100
MEM 1127.707031 1516011929.4102
MEM 1143.925781 1516011929.5105
MEM 1159.648438 1516011929.6107
MEM 1175.628906 1516011929.7110
MEM 1191.355469 1516011929.8112
MEM 1207.335938 1516011929.9116
MEM 1223.316406 1516011930.0118
MEM 1239.039062 1516011930.1121
MEM 1244.023438 1516011930.2123
MEM 1250.871094 1516011930.3126
MEM 1266.082031 1516011930.4128
MEM 1278.453125 1516011930.5130
MEM 1278.453125 1516011930.6133
MEM 1293.144531 1516011930.7136
MEM 1308.867188 1516011930.8140
MEM 1321.500000 1516011930.9143
MEM 1321.500000 1516011931.0146
MEM 1333.097656 1516011931.1149
MEM 1349.082031 1516011931.2153
MEM 1365.062500 1516011931.3156
MEM 1376.402344 1516011931.4159
MEM 1376.402344 1516011931.5161
MEM 1384.652344 1516011931.6165
MEM 1400.632812 1516011931.7169
MEM 1416.613281 1516011931.8172
MEM 1432.597656 1516011931.9174
MEM 1444.968750 1516011932.0178
MEM 1444.968750 1516011932.1182
MEM 1446.773438 1516011932.2186
MEM 1462.753906 1516011932.3188
MEM 1478.738281 1516011932.4191
MEM 1494.718750 1516011932.5193
MEM 1510.699219 1516011932.6197
MEM 1526.679688 1516011932.7200
MEM 1531.062500 1516011932.8203
MEM 1531.062500 1516011932.9205
MEM 1534.156250 1516011933.0209
MEM 1550.136719 1516011933.1212
MEM 1564.050781 1516011933.2214
MEM 1571.781250 1516011933.3217
MEM 1579.515625 1516011933.4221
MEM 1587.246094 1516011933.5225
MEM 1594.980469 1516011933.6229
MEM 1602.714844 1516011933.7233
MEM 1610.445312 1516011933.8235
MEM 1617.921875 1516011933.9238
MEM 1625.656250 1516011934.0241
MEM 1633.386719 1516011934.1245
MEM 1641.121094 1516011934.2247
MEM 1648.855469 1516011934.3250
MEM 1656.585938 1516011934.4254
MEM 1664.023438 1516011934.5257
MEM 1671.519531 1516011934.6261
MEM 1679.015625 1516011934.7265
MEM 1686.453125 1516011934.8268
MEM 1692.449219 1516011934.9271
MEM 1692.449219 1516011935.0273
MEM 1692.449219 1516011935.1275
MEM 1692.449219 1516011935.2278
MEM 1692.449219 1516011935.3281
MEM 1692.449219 1516011935.4283
MEM 1692.449219 1516011935.5285
MEM 1692.449219 1516011935.6288
MEM 1692.449219 1516011935.7290
MEM 1692.449219 1516011935.8294
MEM 1692.449219 1516011935.9296
MEM 1692.449219 1516011936.0299
MEM 1692.449219 1516011936.1302
MEM 1692.449219 1516011936.2306
MEM 1692.449219 1516011936.3322
MEM 1692.449219 1516011936.4325
MEM 1692.449219 1516011936.5327
MEM 1692.449219 1516011936.6330
MEM 1692.449219 1516011936.7332
MEM 1692.449219 1516011936.8334
MEM 1692.449219 1516011936.9338
MEM 1692.449219 1516011937.0340
MEM 1692.449219 1516011937.1344
MEM 1692.449219 1516011937.2347
MEM 1692.449219 1516011937.3349
MEM 1692.449219 1516011937.4351
MEM 1692.449219 1516011937.5354
MEM 1692.488281 1516011937.6356
MEM 1694.035156 1516011937.7358
MEM 1694.035156 1516011937.8361
MEM 1694.035156 1516011937.9363
MEM 1694.035156 1516011938.0365
MEM 1694.035156 1516011938.1367
MEM 1694.035156 1516011938.2371
MEM 1694.472656 1516011938.3374
MEM 1697.046875 1516011938.4376
MEM 1700.140625 1516011938.5379
MEM 1702.460938 1516011938.6381
MEM 1705.039062 1516011938.7384
MEM 1707.617188 1516011938.8387
MEM 1710.195312 1516011938.9390
MEM 1712.773438 1516011939.0393
MEM 1715.351562 1516011939.1396
MEM 1717.929688 1516011939.2400
MEM 1720.507812 1516011939.3402
MEM 1723.085938 1516011939.4405
MEM 1725.664062 1516011939.5408
MEM 1728.242188 1516011939.6411
MEM 1731.078125 1516011939.7414
MEM 1733.656250 1516011939.8417
